Time,Track,PlayerID,PlayerName,Record,RoundNumber,Points
1736937232,Micro Test #1,2891ebfc-1c77-4bb8-a491-7c735717aac2,wouto1997,5699,1,10
1736937233,Micro Test #1,60c206c1-c3dd-4c53-8dfa-5befc76cfe44,sumi.ice,5731,1,8
1736937233,Micro Test #1,b4f3f417-1a5a-4c71-bf2d-073a2d8d4649,nolan.tm,5769,1,6
1736937233,Micro Test #1,9e990057-39f8-4f2b-88e5-0f6d0dad1597,kieranrjc,5948,1,4
1736937255,Micro Test #1,b4f3f417-1a5a-4c71-bf2d-073a2d8d4649,nolan.tm,5743,2,10
1736937255,Micro Test #1,9e990057-39f8-4f2b-88e5-0f6d0dad1597,kieranrjc,5787,2,8
1736937255,Micro Test #1,60c206c1-c3dd-4c53-8dfa-5befc76cfe44,sumi.ice,5945,2,6
1736937255,Micro Test #1,2891ebfc-1c77-4bb8-a491-7c735717aac2,wouto1997,6114,2,4
1736937276,Micro Test #1,b4f3f417-1a5a-4c71-bf2d-073a2d8d4649,nolan.tm,5758,3,10
1736937277,Micro Test #1,60c206c1-c3dd-4c53-8dfa-5befc76cfe44,sumi.ice,5824,3,8
1736937277,Micro Test #1,2891ebfc-1c77-4bb8-a491-7c735717aac2,wouto1997,6724,3,4
1736937277,Micro Test #1,9e990057-39f8-4f2b-88e5-0f6d0dad1597,kieranrjc,6723,3,6
1736937299,Micro Test #1,2891ebfc-1c77-4bb8-a491-7c735717aac2,wouto1997,5737,4,10
1736937299,Micro Test #1,b4f3f417-1a5a-4c71-bf2d-073a2d8d4649,nolan.tm,5987,4,8
1736937300,Micro Test #1,9e990057-39f8-4f2b-88e5-0f6d0dad1597,kieranrjc,7118,4,6
1736937304,Micro Test #1,60c206c1-c3dd-4c53-8dfa-5befc76cfe44,sumi.ice,10386,4,4
1736937323,Micro Test #1,2891ebfc-1c77-4bb8-a491-7c735717aac2,wouto1997,5881,5,8
1736937323,Micro Test #1,b4f3f417-1a5a-4c71-bf2d-073a2d8d4649,nolan.tm,5861,5,10
1736937323,Micro Test #1,60c206c1-c3dd-4c53-8dfa-5befc76cfe44,sumi.ice,5916,5,6
1736937323,Micro Test #1,9e990057-39f8-4f2b-88e5-0f6d0dad1597,kieranrjc,6054,5,4
1736937381,Micro Test #2,2891ebfc-1c77-4bb8-a491-7c735717aac2,wouto1997,6130,0,10
1736937381,Micro Test #2,b4f3f417-1a5a-4c71-bf2d-073a2d8d4649,nolan.tm,6201,0,8
1736937381,Micro Test #2,9e990057-39f8-4f2b-88e5-0f6d0dad1597,kieranrjc,6207,0,6
1736937381,Micro Test #2,60c206c1-c3dd-4c53-8dfa-5befc76cfe44,sumi.ice,6477,0,4
1736937404,Micro Test #2,60c206c1-c3dd-4c53-8dfa-5befc76cfe44,sumi.ice,6258,1,10
1736937404,Micro Test #2,b4f3f417-1a5a-4c71-bf2d-073a2d8d4649,nolan.tm,6301,1,8
1736937404,Micro Test #2,9e990057-39f8-4f2b-88e5-0f6d0dad1597,kieranrjc,6396,1,6
1736937404,Micro Test #2,2891ebfc-1c77-4bb8-a491-7c735717aac2,wouto1997,6723,1,4
1736937426,Micro Test #2,b4f3f417-1a5a-4c71-bf2d-073a2d8d4649,nolan.tm,6165,2,10
1736937426,Micro Test #2,60c206c1-c3dd-4c53-8dfa-5befc76cfe44,sumi.ice,6376,2,8
1736937427,Micro Test #2,9e990057-39f8-4f2b-88e5-0f6d0dad1597,kieranrjc,6809,2,6
1736937448,Micro Test #2,b4f3f417-1a5a-4c71-bf2d-073a2d8d4649,nolan.tm,6075,3,10
1736937449,Micro Test #2,60c206c1-c3dd-4c53-8dfa-5befc76cfe44,sumi.ice,6136,3,8
1736937449,Micro Test #2,2891ebfc-1c77-4bb8-a491-7c735717aac2,wouto1997,6275,3,6
1736937449,Micro Test #2,9e990057-39f8-4f2b-88e5-0f6d0dad1597,kieranrjc,6349,3,4
1736937471,Micro Test #2,2891ebfc-1c77-4bb8-a491-7c735717aac2,wouto1997,6174,4,8
1736937471,Micro Test #2,b4f3f417-1a5a-4c71-bf2d-073a2d8d4649,nolan.tm,6129,4,10
1736937471,Micro Test #2,60c206c1-c3dd-4c53-8dfa-5befc76cfe44,sumi.ice,6183,4,6
1736937471,Micro Test #2,9e990057-39f8-4f2b-88e5-0f6d0dad1597,kieranrjc,6199,4,4
1736937542,Micro Test #3,cfebb36e-21a9-496d-933c-91f058fd0b99,baiwack,9942,1,10
1736937543,Micro Test #3,dad70218-44ab-4911-af89-acfb3cd31d3e,Shikurima,10972,1,8
1736937544,Micro Test #3,74e2be2f-0f21-4659-992a-feb7b1219b7e,bead,11041,1,6
1736937545,Micro Test #3,af5ee35f-d00c-4bb4-83bc-b9cb241d10e9,Forty.2,12512,1,4
1736937570,Micro Test #3,74e2be2f-0f21-4659-992a-feb7b1219b7e,bead,9800,2,10
1736937570,Micro Test #3,af5ee35f-d00c-4bb4-83bc-b9cb241d10e9,Forty.2,10134,2,8
1736937571,Micro Test #3,cfebb36e-21a9-496d-933c-91f058fd0b99,baiwack,10372,2,6
1736937572,Micro Test #3,dad70218-44ab-4911-af89-acfb3cd31d3e,Shikurima,11221,2,4
1736937597,Micro Test #3,cfebb36e-21a9-496d-933c-91f058fd0b99,baiwack,9711,3,10
1736937597,Micro Test #3,af5ee35f-d00c-4bb4-83bc-b9cb241d10e9,Forty.2,9988,3,8
1736937598,Micro Test #3,dad70218-44ab-4911-af89-acfb3cd31d3e,Shikurima,10217,3,6
1736937598,Micro Test #3,74e2be2f-0f21-4659-992a-feb7b1219b7e,bead,10666,3,4
1736937624,Micro Test #3,cfebb36e-21a9-496d-933c-91f058fd0b99,baiwack,9984,4,10
1736937624,Micro Test #3,af5ee35f-d00c-4bb4-83bc-b9cb241d10e9,Forty.2,10156,4,8
1736937624,Micro Test #3,74e2be2f-0f21-4659-992a-feb7b1219b7e,bead,10224,4,6
1736937625,Micro Test #3,dad70218-44ab-4911-af89-acfb3cd31d3e,Shikurima,10946,4,4
1736937651,Micro Test #3,dad70218-44ab-4911-af89-acfb3cd31d3e,Shikurima,10121,5,10
1736937651,Micro Test #3,cfebb36e-21a9-496d-933c-91f058fd0b99,baiwack,10408,5,8
1736937652,Micro Test #3,af5ee35f-d00c-4bb4-83bc-b9cb241d10e9,Forty.2,10577,5,6
1736937652,Micro Test #3,74e2be2f-0f21-4659-992a-feb7b1219b7e,bead,11123,5,4
1736937233,Micro Test #1,74e2be2f-0f21-4659-992a-feb7b1219b7e,bead,5731,1,8
1736937233,Micro Test #1,dad70218-44ab-4911-af89-acfb3cd31d3e,Shikurima,5769,1,6
1736937233,Micro Test #1,af5ee35f-d00c-4bb4-83bc-b9cb241d10e9,Forty.2,5948,1,4
1736937255,Micro Test #1,dad70218-44ab-4911-af89-acfb3cd31d3e,Shikurima,5743,2,10
1736937255,Micro Test #1,af5ee35f-d00c-4bb4-83bc-b9cb241d10e9,Forty.2,5787,2,8
1736937255,Micro Test #1,74e2be2f-0f21-4659-992a-feb7b1219b7e,bead,5945,2,6
1736937255,Micro Test #1,cfebb36e-21a9-496d-933c-91f058fd0b99,baiwack,6114,2,4
1736937276,Micro Test #1,dad70218-44ab-4911-af89-acfb3cd31d3e,Shikurima,5758,3,10
1736937277,Micro Test #1,74e2be2f-0f21-4659-992a-feb7b1219b7e,bead,5824,3,8
1736937277,Micro Test #1,cfebb36e-21a9-496d-933c-91f058fd0b99,baiwack,6724,3,4
1736937277,Micro Test #1,af5ee35f-d00c-4bb4-83bc-b9cb241d10e9,Forty.2,6723,3,6
1736937299,Micro Test #1,cfebb36e-21a9-496d-933c-91f058fd0b99,baiwack,5737,4,10
1736937299,Micro Test #1,dad70218-44ab-4911-af89-acfb3cd31d3e,Shikurima,5987,4,8
1736937300,Micro Test #1,af5ee35f-d00c-4bb4-83bc-b9cb241d10e9,Forty.2,7118,4,6
1736937304,Micro Test #1,74e2be2f-0f21-4659-992a-feb7b1219b7e,bead,10386,4,4
1736937323,Micro Test #1,cfebb36e-21a9-496d-933c-91f058fd0b99,baiwack,5881,5,8
1736937323,Micro Test #1,dad70218-44ab-4911-af89-acfb3cd31d3e,Shikurima,5861,5,10
1736937323,Micro Test #1,74e2be2f-0f21-4659-992a-feb7b1219b7e,bead,5916,5,6
1736937323,Micro Test #1,af5ee35f-d00c-4bb4-83bc-b9cb241d10e9,Forty.2,6054,5,4
1736937381,Micro Test #2,8eb64f85-db61-474d-8a8b-d541d2d4250b,vikingjoec,6130,0,10
1736937381,Micro Test #2,d0447fd8-4a7f-49fd-8464-602b493da1a2,krelle1232,6201,0,8
1736937381,Micro Test #2,83cde241-f52b-4a6c-a3f3-ea04b199122c,Hergam4,6207,0,6
1736937381,Micro Test #2,6b9a48bf-a0b4-452a-9151-1e3b53133faf,spoder-,6477,0,4
1736937404,Micro Test #2,6b9a48bf-a0b4-452a-9151-1e3b53133faf,spoder-,6258,1,10
1736937404,Micro Test #2,d0447fd8-4a7f-49fd-8464-602b493da1a2,krelle1232,6301,1,8
1736937404,Micro Test #2,83cde241-f52b-4a6c-a3f3-ea04b199122c,Hergam4,6396,1,6
1736937404,Micro Test #2,8eb64f85-db61-474d-8a8b-d541d2d4250b,vikingjoec,6723,1,4
1736937426,Micro Test #2,d0447fd8-4a7f-49fd-8464-602b493da1a2,krelle1232,6165,2,10
1736937426,Micro Test #2,6b9a48bf-a0b4-452a-9151-1e3b53133faf,spoder-,6376,2,8
1736937427,Micro Test #2,83cde241-f52b-4a6c-a3f3-ea04b199122c,Hergam4,6809,2,6
1736937448,Micro Test #2,d0447fd8-4a7f-49fd-8464-602b493da1a2,krelle1232,6075,3,10
1736937449,Micro Test #2,6b9a48bf-a0b4-452a-9151-1e3b53133faf,spoder-,6136,3,8
1736937449,Micro Test #2,8eb64f85-db61-474d-8a8b-d541d2d4250b,vikingjoec,6275,3,6
1736937449,Micro Test #2,83cde241-f52b-4a6c-a3f3-ea04b199122c,Hergam4,6349,3,4
1736937471,Micro Test #2,8eb64f85-db61-474d-8a8b-d541d2d4250b,vikingjoec,6174,4,8
1736937471,Micro Test #2,d0447fd8-4a7f-49fd-8464-602b493da1a2,krelle1232,6129,4,10
1736937471,Micro Test #2,6b9a48bf-a0b4-452a-9151-1e3b53133faf,spoder-,6183,4,6
1736937471,Micro Test #2,83cde241-f52b-4a6c-a3f3-ea04b199122c,Hergam4,6199,4,4
1736937542,Micro Test #3,8eb64f85-db61-474d-8a8b-d541d2d4250b,vikingjoec,9942,1,10
1736937543,Micro Test #3,d0447fd8-4a7f-49fd-8464-602b493da1a2,krelle1232,10972,1,8
1736937544,Micro Test #3,6b9a48bf-a0b4-452a-9151-1e3b53133faf,spoder-,11041,1,6
1736937545,Micro Test #3,83cde241-f52b-4a6c-a3f3-ea04b199122c,Hergam4,12512,1,4
1736937570,Micro Test #3,6b9a48bf-a0b4-452a-9151-1e3b53133faf,spoder-,9800,2,10
1736937570,Micro Test #3,83cde241-f52b-4a6c-a3f3-ea04b199122c,Hergam4,10134,2,8
1736937571,Micro Test #3,8eb64f85-db61-474d-8a8b-d541d2d4250b,vikingjoec,10372,2,6
1736937572,Micro Test #3,d0447fd8-4a7f-49fd-8464-602b493da1a2,krelle1232,11221,2,4
1736937597,Micro Test #3,8eb64f85-db61-474d-8a8b-d541d2d4250b,vikingjoec,9711,3,10
1736937597,Micro Test #3,83cde241-f52b-4a6c-a3f3-ea04b199122c,Hergam4,9988,3,8
1736937598,Micro Test #3,d0447fd8-4a7f-49fd-8464-602b493da1a2,krelle1232,10217,3,6
1736937598,Micro Test #3,6b9a48bf-a0b4-452a-9151-1e3b53133faf,spoder-,10666,3,4
1736937624,Micro Test #3,8eb64f85-db61-474d-8a8b-d541d2d4250b,vikingjoec,9984,4,10
1736937624,Micro Test #3,83cde241-f52b-4a6c-a3f3-ea04b199122c,Hergam4,10156,4,8
1736937624,Micro Test #3,6b9a48bf-a0b4-452a-9151-1e3b53133faf,spoder-,10224,4,6
1736937625,Micro Test #3,d0447fd8-4a7f-49fd-8464-602b493da1a2,krelle1232,10946,4,4
1736937651,Micro Test #3,d0447fd8-4a7f-49fd-8464-602b493da1a2,krelle1232,10121,5,10
1736937651,Micro Test #3,8eb64f85-db61-474d-8a8b-d541d2d4250b,vikingjoec,10408,5,8
1736937652,Micro Test #3,83cde241-f52b-4a6c-a3f3-ea04b199122c,Hergam4,10577,5,6
1736937652,Micro Test #3,6b9a48bf-a0b4-452a-9151-1e3b53133faf,spoder-,11123,5,4